First point of data acquisition:
2024-07-29, 17:32:26
Sample n. 3, Corrosion current -10mV/microAmpere. 
Ch1 V, Ch2 V, Time
3.848,3.422,2024-07-29 17:33:44
3.819,3.394,2024-07-29 17:33:44
3.791,3.381,2024-07-29 17:33:45
3.673,2.962,2024-07-29 17:33:45
3.620,2.919,2024-07-29 17:33:46
3.616,2.917,2024-07-29 17:33:46
3.815,3.370,2024-07-29 17:33:47
3.820,3.381,2024-07-29 17:33:47
3.802,3.388,2024-07-29 17:33:48
3.786,3.379,2024-07-29 17:33:48
3.803,3.376,2024-07-29 17:33:49
3.730,2.984,2024-07-29 17:33:49
3.691,2.937,2024-07-29 17:33:50
3.652,2.906,2024-07-29 17:33:50
3.781,3.366,2024-07-29 17:33:51
3.719,3.305,2024-07-29 17:33:51
3.823,3.386,2024-07-29 17:33:52
3.789,3.367,2024-07-29 17:33:52
3.609,2.866,2024-07-29 17:33:53
3.637,2.940,2024-07-29 17:45:14
3.677,2.895,2024-07-29 17:45:14
3.477,2.605,2024-07-29 17:45:15
3.513,2.639,2024-07-29 17:45:15
3.292,2.891,2024-07-29 17:45:16
3.277,2.890,2024-07-29 17:45:16
3.329,2.926,2024-07-29 17:45:17
3.495,2.635,2024-07-29 17:45:17
3.558,2.696,2024-07-29 17:45:18
3.544,2.666,2024-07-29 17:45:18
3.276,2.880,2024-07-29 17:45:19
3.271,2.886,2024-07-29 17:45:19
3.396,2.979,2024-07-29 17:45:20
3.543,2.663,2024-07-29 17:45:20
3.618,2.719,2024-07-29 17:45:21
3.634,2.740,2024-07-29 17:45:21
3.625,2.733,2024-07-29 17:45:22
3.567,3.099,2024-07-29 17:45:22
3.554,3.104,2024-07-29 17:45:23
3.126,2.777,2024-07-29 17:56:44
3.000,2.722,2024-07-29 17:56:44
3.088,2.774,2024-07-29 17:56:45
3.708,2.689,2024-07-29 17:56:45
3.668,2.646,2024-07-29 17:56:46
3.741,2.718,2024-07-29 17:56:46
3.733,2.729,2024-07-29 17:56:47
3.148,2.847,2024-07-29 17:56:47
3.333,2.941,2024-07-29 17:56:48
3.332,2.962,2024-07-29 17:56:48
3.854,2.813,2024-07-29 17:56:49
3.908,2.885,2024-07-29 17:56:49
3.907,2.890,2024-07-29 17:56:50
3.461,3.036,2024-07-29 17:56:50
3.469,3.032,2024-07-29 17:56:51
3.476,3.028,2024-07-29 17:56:51
3.900,2.904,2024-07-29 17:56:52
3.894,2.906,2024-07-29 17:56:52
3.892,2.910,2024-07-29 17:56:53
3.841,2.786,2024-07-29 18:08:13
3.819,2.780,2024-07-29 18:08:13
3.793,2.739,2024-07-29 18:08:14
3.055,2.759,2024-07-29 18:08:14
3.101,2.778,2024-07-29 18:08:15
3.071,2.729,2024-07-29 18:08:15
3.751,2.723,2024-07-29 18:08:16
3.718,2.685,2024-07-29 18:08:16
3.686,2.646,2024-07-29 18:08:17
3.078,2.747,2024-07-29 18:08:17
3.701,2.913,2024-07-29 18:08:18
3.755,2.905,2024-07-29 18:08:18
3.812,2.905,2024-07-29 18:08:19
3.474,2.904,2024-07-29 18:08:19
3.499,2.952,2024-07-29 18:08:20
3.488,2.976,2024-07-29 18:08:20
3.886,2.874,2024-07-29 18:08:21
3.901,2.867,2024-07-29 18:08:21
3.869,2.809,2024-07-29 18:08:22
3.832,2.768,2024-07-29 18:19:42
3.841,2.781,2024-07-29 18:19:43
3.848,2.785,2024-07-29 18:19:43
3.870,2.813,2024-07-29 18:19:44
3.411,2.992,2024-07-29 18:19:44
3.395,2.976,2024-07-29 18:19:45
3.382,2.958,2024-07-29 18:19:45
3.846,2.782,2024-07-29 18:19:46
3.855,2.793,2024-07-29 18:19:46
3.847,2.781,2024-07-29 18:19:47
3.274,2.904,2024-07-29 18:19:47
3.318,2.928,2024-07-29 18:19:48
3.287,2.907,2024-07-29 18:19:48
3.831,2.772,2024-07-29 18:19:49
3.839,2.781,2024-07-29 18:19:49
3.844,2.787,2024-07-29 18:19:50
3.818,2.755,2024-07-29 18:19:50
3.831,2.773,2024-07-29 18:19:51
3.326,2.928,2024-07-29 18:19:51
3.448,2.962,2024-07-29 18:31:11
3.423,2.977,2024-07-29 18:31:12
3.332,2.928,2024-07-29 18:31:12
3.789,2.751,2024-07-29 18:31:13
3.746,2.673,2024-07-29 18:31:13
3.686,2.664,2024-07-29 18:31:14
