First point of data acquisition:
2024-07-29, 17:32:26
Sample n. 2, Potential measurament V. 
Ch1 V, Ch2 V, Time
6.075,4.353,2024-07-29 17:32:46
5.226,4.236,2024-07-29 17:32:46
-2.036,4.081,2024-07-29 17:32:47
-3.227,4.332,2024-07-29 17:32:47
-4.340,4.045,2024-07-29 17:32:48
4.390,4.381,2024-07-29 17:32:48
4.965,4.358,2024-07-29 17:32:49
5.980,4.334,2024-07-29 17:32:49
-8.256,4.452,2024-07-29 17:32:50
-8.761,4.453,2024-07-29 17:32:50
-9.493,4.454,2024-07-29 17:32:51
-10.000,4.454,2024-07-29 17:32:51
9.807,4.453,2024-07-29 17:32:52
10.000,4.452,2024-07-29 17:32:52
10.000,4.451,2024-07-29 17:32:53
-10.000,4.456,2024-07-29 17:32:53
-10.000,4.456,2024-07-29 17:32:54
-10.000,4.456,2024-07-29 17:32:54
10.000,4.450,2024-07-29 17:32:55
7.164,4.453,2024-07-29 17:44:16
7.611,4.453,2024-07-29 17:44:16
8.042,4.453,2024-07-29 17:44:17
-9.880,4.455,2024-07-29 17:44:17
-10.000,4.454,2024-07-29 17:44:18
-10.000,4.455,2024-07-29 17:44:18
9.689,4.452,2024-07-29 17:44:19
9.675,4.451,2024-07-29 17:44:19
-10.000,4.456,2024-07-29 17:44:20
-10.000,4.456,2024-07-29 17:44:20
-10.000,4.457,2024-07-29 17:44:21
-10.000,4.457,2024-07-29 17:44:21
9.042,4.445,2024-07-29 17:44:22
7.950,4.397,2024-07-29 17:44:22
7.637,4.243,2024-07-29 17:44:23
-8.076,4.441,2024-07-29 17:44:23
-7.028,4.257,2024-07-29 17:44:24
1.550,4.399,2024-07-29 17:44:24
-4.719,4.070,2024-07-29 17:44:25
-8.178,4.412,2024-07-29 17:55:46
-8.516,4.456,2024-07-29 17:55:46
-8.928,4.324,2024-07-29 17:55:47
-9.272,4.425,2024-07-29 17:55:47
7.863,4.384,2024-07-29 17:55:48
8.282,4.432,2024-07-29 17:55:48
8.916,4.440,2024-07-29 17:55:49
-10.000,4.457,2024-07-29 17:55:49
-10.000,4.457,2024-07-29 17:55:50
9.360,4.451,2024-07-29 17:55:50
9.355,4.451,2024-07-29 17:55:51
9.418,4.451,2024-07-29 17:55:51
9.460,4.452,2024-07-29 17:55:52
-10.000,4.455,2024-07-29 17:55:52
-10.000,4.456,2024-07-29 17:55:53
-10.000,4.455,2024-07-29 17:55:53
8.535,4.453,2024-07-29 17:55:54
7.929,4.453,2024-07-29 17:55:54
7.149,4.454,2024-07-29 17:55:55
5.796,4.188,2024-07-29 18:07:15
-3.317,4.067,2024-07-29 18:07:15
-6.209,3.990,2024-07-29 18:07:16
6.830,4.454,2024-07-29 18:07:16
8.661,4.453,2024-07-29 18:07:17
-10.000,4.456,2024-07-29 18:07:17
