First point of data acquisition:
2024-07-31, 13:58:42
Sample n. 1, Corrosion current -10mV/microAmpere. 
Ch1 V, Ch2 V, Time
0.019,0.138,2024-07-31 14:02:33
0.023,0.138,2024-07-31 14:02:33
0.013,0.127,2024-07-31 14:02:34
0.016,0.126,2024-07-31 14:02:34
0.011,0.119,2024-07-31 14:02:35
0.003,0.112,2024-07-31 14:02:35
-0.007,0.102,2024-07-31 14:02:36
-0.165,0.036,2024-07-31 14:02:36
-0.198,0.017,2024-07-31 14:02:37
-0.197,0.014,2024-07-31 14:02:37
-0.198,0.007,2024-07-31 14:02:38
-0.194,0.005,2024-07-31 14:02:38
-0.188,0.003,2024-07-31 14:02:39
-0.181,0.002,2024-07-31 14:02:39
-0.176,-0.008,2024-07-31 14:02:40
0.081,-0.220,2024-07-31 14:02:40
0.078,-0.214,2024-07-31 14:02:41
0.089,-0.200,2024-07-31 14:02:41
0.097,-0.121,2024-07-31 14:02:42
0.073,-0.226,2024-07-31 14:20:06
-0.161,-0.018,2024-07-31 14:20:07
-0.163,-0.031,2024-07-31 14:20:07
-0.167,-0.312,2024-07-31 14:20:08
-0.149,-0.383,2024-07-31 14:20:08
-0.151,-0.389,2024-07-31 14:20:09
-0.150,-0.389,2024-07-31 14:20:09
-0.149,-0.390,2024-07-31 14:20:10
-0.147,-0.388,2024-07-31 14:20:10
-0.144,-0.388,2024-07-31 14:20:11
-0.143,-0.388,2024-07-31 14:20:11
-0.144,-0.392,2024-07-31 14:20:12
-0.143,-0.393,2024-07-31 14:20:12
-0.145,-0.396,2024-07-31 14:20:13
-0.140,-0.394,2024-07-31 14:20:13
-0.135,-0.390,2024-07-31 14:20:14
0.041,0.167,2024-07-31 14:20:14
0.039,0.165,2024-07-31 14:20:15
0.027,0.155,2024-07-31 14:20:15
0.097,-0.252,2024-07-31 14:37:35
0.090,-0.246,2024-07-31 14:37:36
0.082,-0.243,2024-07-31 14:37:36
0.076,-0.235,2024-07-31 14:37:37
0.068,-0.228,2024-07-31 14:37:37
0.066,-0.216,2024-07-31 14:37:38
0.076,-0.115,2024-07-31 14:37:38
0.044,0.148,2024-07-31 14:37:39
0.044,0.150,2024-07-31 14:37:39
0.040,0.148,2024-07-31 14:37:40
0.042,0.151,2024-07-31 14:37:40
0.041,0.153,2024-07-31 14:37:41
0.041,0.156,2024-07-31 14:37:41
0.036,0.153,2024-07-31 14:37:42
0.036,0.157,2024-07-31 14:37:42
0.031,0.156,2024-07-31 14:37:43
0.028,0.156,2024-07-31 14:37:43
0.027,0.152,2024-07-31 14:37:44
-0.112,-0.383,2024-07-31 14:37:44
