First point of data acquisition:
2024-07-31, 13:58:42
Sample n. 2, Potential measurament V. 
Ch1 V, Ch2 V, Time
-10.000,4.456,2024-07-31 14:00:02
-10.000,4.455,2024-07-31 14:00:02
-10.000,4.455,2024-07-31 14:00:03
-10.000,4.454,2024-07-31 14:00:03
-9.495,4.455,2024-07-31 14:00:04
-8.758,4.454,2024-07-31 14:00:04
-7.892,4.454,2024-07-31 14:00:05
-7.049,4.201,2024-07-31 14:00:05
-5.930,4.217,2024-07-31 14:00:06
-4.754,4.170,2024-07-31 14:00:06
-3.833,4.067,2024-07-31 14:00:07
-2.377,4.247,2024-07-31 14:00:07
-0.607,4.033,2024-07-31 14:00:08
6.153,4.305,2024-07-31 14:00:08
7.035,4.261,2024-07-31 14:00:09
-9.273,4.456,2024-07-31 14:00:09
-9.623,4.426,2024-07-31 14:00:10
-10.000,4.458,2024-07-31 14:00:10
-10.000,4.457,2024-07-31 14:00:11
9.689,3.642,2024-07-31 14:17:36
-10.000,4.020,2024-07-31 14:17:37
-10.000,3.905,2024-07-31 14:17:37
-10.000,4.178,2024-07-31 14:17:38
-10.000,4.355,2024-07-31 14:17:38
-10.000,4.455,2024-07-31 14:17:39
-10.000,4.455,2024-07-31 14:17:39
-10.000,4.456,2024-07-31 14:17:40
-10.000,4.455,2024-07-31 14:17:40
-10.000,4.455,2024-07-31 14:17:41
-9.730,4.368,2024-07-31 14:17:41
-9.338,4.454,2024-07-31 14:17:42
-8.894,4.454,2024-07-31 14:17:42
-8.337,4.453,2024-07-31 14:17:43
-7.948,4.453,2024-07-31 14:17:43
-7.390,4.453,2024-07-31 14:17:44
-7.022,4.136,2024-07-31 14:17:44
-6.338,4.094,2024-07-31 14:17:45
-5.241,4.135,2024-07-31 14:17:45
-6.896,2.978,2024-07-31 14:35:06
-4.969,3.038,2024-07-31 14:35:06
-3.183,3.313,2024-07-31 14:35:07
2.388,3.253,2024-07-31 14:35:07
7.188,3.489,2024-07-31 14:35:08
-9.501,3.792,2024-07-31 14:35:08
-10.000,4.094,2024-07-31 14:35:09
-10.000,4.457,2024-07-31 14:35:09
-10.000,4.322,2024-07-31 14:35:10
-10.000,3.649,2024-07-31 14:35:10
-10.000,3.781,2024-07-31 14:35:11
-10.000,3.824,2024-07-31 14:35:11
-9.303,3.907,2024-07-31 14:35:12
-8.050,4.129,2024-07-31 14:35:12
5.418,3.794,2024-07-31 14:35:13
3.894,4.085,2024-07-31 14:35:13
2.783,4.290,2024-07-31 14:35:14
1.311,4.417,2024-07-31 14:35:14
-0.428,4.304,2024-07-31 14:35:15
-7.883,2.984,2024-07-31 14:52:35
-8.364,3.391,2024-07-31 14:52:36
-9.231,3.018,2024-07-31 14:52:36
-9.648,3.244,2024-07-31 14:52:37
-10.000,3.428,2024-07-31 14:52:37
-10.000,3.606,2024-07-31 14:52:38
-10.000,4.031,2024-07-31 14:52:38
-10.000,4.187,2024-07-31 14:52:39
-10.000,3.596,2024-07-31 14:52:39
10.000,3.365,2024-07-31 14:52:40
10.000,3.233,2024-07-31 14:52:40
9.398,3.211,2024-07-31 14:52:41
8.873,3.341,2024-07-31 14:52:41
7.827,3.511,2024-07-31 14:52:42
6.682,3.767,2024-07-31 14:52:42
5.596,3.835,2024-07-31 14:52:43
4.195,4.279,2024-07-31 14:52:43
3.395,4.071,2024-07-31 14:52:44
-4.003,4.059,2024-07-31 14:52:44
